# nu(cm-1)        I    I_pol
    1246.5  0.64747  0.55947
    1247.0  0.64574  0.55946
    1247.5  0.64396  0.55945
    1248.0  0.64209  0.55944
    1248.5  0.64014  0.55943
    1249.0  0.63810  0.55942
    1249.5  0.63598  0.55941
    1250.0  0.63377  0.55940
    1250.5  0.63149  0.55939
    1251.0  0.62915  0.55938
    1251.5  0.62676  0.55936
    1252.0  0.62433  0.55935
    1252.5  0.62188  0.55934
    1253.0  0.61941  0.55933
    1253.5  0.61695  0.55932
    1254.0  0.61450  0.55931
    1254.5  0.61208  0.55930
    1255.0  0.60970  0.55929
    1255.5  0.60735  0.55928
    1256.0  0.60506  0.55926
    1256.5  0.60283  0.55925
    1257.0  0.60066  0.55924
    1257.5  0.59855  0.55923
    1258.0  0.59652  0.55922
    1258.5  0.59457  0.55921
    1259.0  0.59269  0.55920
    1259.5  0.59088  0.55919
    1260.0  0.58916  0.55918
    1260.5  0.58752  0.55917
    1261.0  0.58596  0.55915
    1261.5  0.58447  0.55914
    1262.0  0.58307  0.55913
    1262.5  0.58174  0.55912
    1263.0  0.58048  0.55911
    1263.5  0.57930  0.55910
    1264.0  0.57819  0.55909
    1264.5  0.57715  0.55908
    1265.0  0.57618  0.55907
    1265.5  0.57527  0.55906
    1266.0  0.57441  0.55904
    1266.5  0.57362  0.55903
    1267.0  0.57288  0.55902
    1267.5  0.57218  0.55901
    1268.0  0.57154  0.55900
    1268.5  0.57094  0.55899
    1269.0  0.57039  0.55898
    1269.5  0.56987  0.55897
    1270.0  0.56939  0.55896
    1270.5  0.56894  0.55894
    1271.0  0.56852  0.55893
    1271.5  0.56813  0.55892
    1272.0  0.56777  0.55891
    1272.5  0.56743  0.55890
    1273.0  0.56711  0.55889
    1273.5  0.56682  0.55888
    1274.0  0.56654  0.55887
    1274.5  0.56628  0.55886
    1275.0  0.56603  0.55885
    1275.5  0.56580  0.55883
    1276.0  0.56558  0.55882
    1276.5  0.56537  0.55881
    1277.0  0.56517  0.55880
    1277.5  0.56499  0.55879
    1278.0  0.56481  0.55878
    1278.5  0.56464  0.55877
    1279.0  0.56447  0.55876
    1279.5  0.56432  0.55875
    1280.0  0.56417  0.55873
    1280.5  0.56403  0.55872
    1281.0  0.56389  0.55871
    1281.5  0.56376  0.55870
    1282.0  0.56363  0.55869
    1282.5  0.56351  0.55868
    1283.0  0.56339  0.55867
    1283.5  0.56327  0.55866
    1284.0  0.56316  0.55865
    1284.5  0.56305  0.55864
    1285.0  0.56295  0.55862
    1285.5  0.56284  0.55861
    1286.0  0.56275  0.55860
    1286.5  0.56265  0.55859
    1287.0  0.56256  0.55858
    1287.5  0.56247  0.55857
    1288.0  0.56238  0.55856
    1288.5  0.56229  0.55855
    1289.0  0.56221  0.55854
    1289.5  0.56213  0.55852
    1290.0  0.56205  0.55851
    1290.5  0.56197  0.55850
    1291.0  0.56189  0.55849
    1291.5  0.56182  0.55848
    1292.0  0.56175  0.55847
    1292.5  0.56168  0.55846
    1293.0  0.56161  0.55845
    1293.5  0.56154  0.55844
    1294.0  0.56148  0.55843
    1294.5  0.56141  0.55841
    1295.0  0.56135  0.55840
    1295.5  0.56129  0.55839
    1296.0  0.56123  0.55838
    1296.5  0.56117  0.55837
    1297.0  0.56111  0.55836
    1297.5  0.56105  0.55835
    1298.0  0.56100  0.55834
    1298.5  0.56094  0.55833
    1299.0  0.56089  0.55831
    1299.5  0.56084  0.55830
    1300.0  0.56079  0.55829
    1300.5  0.56074  0.55828
    1301.0  0.56069  0.55827
    1301.5  0.56064  0.55826
    1302.0  0.56059  0.55825
    1302.5  0.56054  0.55824
    1303.0  0.56050  0.55823
    1303.5  0.56045  0.55822
    1304.0  0.56041  0.55820
    1304.5  0.56036  0.55819
    1305.0  0.56032  0.55818
    1305.5  0.56028  0.55817
    1306.0  0.56024  0.55816
    1306.5  0.56020  0.55815
    1307.0  0.56016  0.55814
    1307.5  0.56012  0.55813
    1308.0  0.56008  0.55812
    1308.5  0.56004  0.55811
    1309.0  0.56000  0.55809
    1309.5  0.55996  0.55808
    1310.0  0.55993  0.55807
    1310.5  0.55989  0.55806
    1311.0  0.55985  0.55805
    1311.5  0.55982  0.55804
    1312.0  0.55978  0.55803
    1312.5  0.55975  0.55802
    1313.0  0.55972  0.55801
    1313.5  0.55968  0.55799
    1314.0  0.55965  0.55798
    1314.5  0.55962  0.55797
    1315.0  0.55959  0.55796
    1315.5  0.55955  0.55795
    1316.0  0.55952  0.55794
    1316.5  0.55949  0.55793
    1317.0  0.55946  0.55792
    1317.5  0.55943  0.55791
    1318.0  0.55940  0.55790
    1318.5  0.55937  0.55788
    1319.0  0.55934  0.55787
    1319.5  0.55931  0.55786
    1320.0  0.55929  0.55785
    1320.5  0.55926  0.55784
    1321.0  0.55923  0.55783
    1321.5  0.55920  0.55782
    1322.0  0.55917  0.55781
    1322.5  0.55915  0.55780
    1323.0  0.55912  0.55778
    1323.5  0.55909  0.55777
    1324.0  0.55907  0.55776
    1324.5  0.55904  0.55775
    1325.0  0.55902  0.55774
    1325.5  0.55899  0.55773
    1326.0  0.55897  0.55772
    1326.5  0.55894  0.55771
    1327.0  0.55892  0.55770
    1327.5  0.55889  0.55769
    1328.0  0.55887  0.55767
    1328.5  0.55884  0.55766
    1329.0  0.55882  0.55765
    1329.5  0.55880  0.55764
    1330.0  0.55877  0.55763
    1330.5  0.55875  0.55762
    1331.0  0.55873  0.55761
    1331.5  0.55870  0.55760
    1332.0  0.55868  0.55759
    1332.5  0.55866  0.55757
    1333.0  0.55864  0.55756
    1333.5  0.55861  0.55755
    1334.0  0.55859  0.55754
    1334.5  0.55857  0.55753
    1335.0  0.55855  0.55752
    1335.5  0.55853  0.55751
    1336.0  0.55851  0.55750
    1336.5  0.55848  0.55749
    1337.0  0.55846  0.55748
    1337.5  0.55844  0.55746
    1338.0  0.55842  0.55745
    1338.5  0.55840  0.55744
    1339.0  0.55838  0.55743
    1339.5  0.55836  0.55742
    1340.0  0.55834  0.55741
    1340.5  0.55832  0.55740
    1341.0  0.55830  0.55739
    1341.5  0.55828  0.55738
    1342.0  0.55826  0.55736
    1342.5  0.55824  0.55735
    1343.0  0.55822  0.55734
    1343.5  0.55820  0.55733
    1344.0  0.55818  0.55732
    1344.5  0.55817  0.55731
    1345.0  0.55815  0.55730
    1345.5  0.55813  0.55729
    1346.0  0.55811  0.55728
    1346.5  0.55809  0.55727
    1347.0  0.55807  0.55725
    1347.5  0.55805  0.55724
    1348.0  0.55804  0.55723
    1348.5  0.55802  0.55722
    1349.0  0.55800  0.55721
    1349.5  0.55798  0.55720
    1350.0  0.55796  0.55719
