# nu(cm-1)        I    I_pol
    1240.5  0.73974  0.06621
    1241.0  0.72475  0.06621
    1241.5  0.71012  0.06621
    1242.0  0.69587  0.06621
    1242.5  0.68198  0.06621
    1243.0  0.66844  0.06621
    1243.5  0.65526  0.06621
    1244.0  0.64240  0.06621
    1244.5  0.62984  0.06621
    1245.0  0.61758  0.06621
    1245.5  0.60558  0.06621
    1246.0  0.59382  0.06621
    1246.5  0.58229  0.06621
    1247.0  0.57096  0.06621
    1247.5  0.55981  0.06621
    1248.0  0.54883  0.06621
    1248.5  0.53800  0.06621
    1249.0  0.52730  0.06621
    1249.5  0.51673  0.06621
    1250.0  0.50627  0.06621
    1250.5  0.49592  0.06621
    1251.0  0.48567  0.06621
    1251.5  0.47552  0.06621
    1252.0  0.46546  0.06621
    1252.5  0.45549  0.06621
    1253.0  0.44562  0.06621
    1253.5  0.43585  0.06621
    1254.0  0.42617  0.06621
    1254.5  0.41660  0.06621
    1255.0  0.40713  0.06621
    1255.5  0.39778  0.06621
    1256.0  0.38854  0.06621
    1256.5  0.37942  0.06621
    1257.0  0.37043  0.06621
    1257.5  0.36158  0.06621
    1258.0  0.35286  0.06621
    1258.5  0.34428  0.06621
    1259.0  0.33585  0.06621
    1259.5  0.32758  0.06621
    1260.0  0.31946  0.06621
    1260.5  0.31151  0.06621
    1261.0  0.30371  0.06621
    1261.5  0.29609  0.06621
    1262.0  0.28864  0.06621
    1262.5  0.28136  0.06621
    1263.0  0.27426  0.06621
    1263.5  0.26734  0.06621
    1264.0  0.26059  0.06621
    1264.5  0.25403  0.06621
    1265.0  0.24764  0.06621
    1265.5  0.24144  0.06621
    1266.0  0.23541  0.06621
    1266.5  0.22957  0.06621
    1267.0  0.22390  0.06621
    1267.5  0.21841  0.06621
    1268.0  0.21310  0.06621
    1268.5  0.20796  0.06621
    1269.0  0.20299  0.06621
    1269.5  0.19819  0.06621
    1270.0  0.19356  0.06621
    1270.5  0.18909  0.06621
    1271.0  0.18478  0.06621
    1271.5  0.18063  0.06621
    1272.0  0.17664  0.06621
    1272.5  0.17279  0.06621
    1273.0  0.16910  0.06621
    1273.5  0.16554  0.06621
    1274.0  0.16213  0.06621
    1274.5  0.15885  0.06621
    1275.0  0.15571  0.06621
    1275.5  0.15269  0.06621
    1276.0  0.14980  0.06621
    1276.5  0.14703  0.06621
    1277.0  0.14437  0.06621
    1277.5  0.14183  0.06621
    1278.0  0.13939  0.06621
    1278.5  0.13706  0.06621
    1279.0  0.13483  0.06621
    1279.5  0.13270  0.06621
    1280.0  0.13066  0.06621
    1280.5  0.12871  0.06621
    1281.0  0.12684  0.06621
    1281.5  0.12505  0.06621
    1282.0  0.12335  0.06621
    1282.5  0.12171  0.06621
    1283.0  0.12015  0.06621
    1283.5  0.11866  0.06621
    1284.0  0.11723  0.06621
    1284.5  0.11587  0.06621
    1285.0  0.11456  0.06621
    1285.5  0.11331  0.06621
    1286.0  0.11212  0.06621
    1286.5  0.11097  0.06621
    1287.0  0.10988  0.06621
    1287.5  0.10883  0.06621
    1288.0  0.10782  0.06621
    1288.5  0.10685  0.06621
    1289.0  0.10593  0.06621
    1289.5  0.10504  0.06621
    1290.0  0.10419  0.06621
    1290.5  0.10337  0.06621
    1291.0  0.10258  0.06621
    1291.5  0.10182  0.06621
    1292.0  0.10109  0.06621
    1292.5  0.10039  0.06621
    1293.0  0.09971  0.06621
    1293.5  0.09906  0.06621
    1294.0  0.09843  0.06621
    1294.5  0.09783  0.06621
    1295.0  0.09724  0.06621
    1295.5  0.09667  0.06621
    1296.0  0.09612  0.06621
    1296.5  0.09559  0.06621
    1297.0  0.09508  0.06621
    1297.5  0.09458  0.06621
    1298.0  0.09410  0.06621
    1298.5  0.09363  0.06621
    1299.0  0.09318  0.06621
    1299.5  0.09274  0.06621
